SN|Res|FS|Wage|IntInc|Div|AliR|SSInc|RRInc|SchCInc|CapGains|QualDiv|TotInc|STCode|Tax|STFS|TUNO|NTUF|
485007414|6|2|-307532.43|205447.14|307735.88|-026714.85|-006681.43|-877580.76|-740672.76|-110274.04|451005.66|-422200.23|63|714437.71|0|7|3|
181132627|7|3|003185.81|-062675.20|-510734.11|-122013.20|671050.42|-150555.57|647456.77|210320.46|645783.35|585642.88|18|257757.56|3|5|2|
672605743|4|0|-383138.13|354544.27|428367.34|114270.23|376371.03|-622438.17|024887.76|528061.07|885834.52|181678.56|06|162307.71|4|0|8|
666028148|4|0|465817.15|230060.35|-426771.62|-402704.85|351171.57|-408338.34|281543.27|725577.12|350155.68|-863508.11|40|748507.88|2|3|2|
853222062|2|3|-138586.38|776372.35|110480.28|-712562.74|565767.83|-526145.23|278203.82|102328.80|-675328.04|438568.12|62|-145540.55|7|7|4|
804732800|1|1|422736.48|507563.31|575037.28|310813.58|-673087.40|-122774.15|-546170.36|-101625.08|-450504.08|-086673.11|77|-007034.50|0|4|2|
436863431|5|6|828027.25|-760113.78|551588.45|-760141.72|-048310.73|384568.24|377632.20|665484.21|018521.81|-566477.73|75|-772137.48|1|0|6|
805701638|8|2|-748513.37|-783831.01|641374.68|305787.53|587675.53|717257.05|662487.31|-817445.28|-225740.75|-430358.02|41|-660608.03|0|5|0|
110542475|3|3|306442.26|785122.56|784606.58|-718048.61|-582117.81|-303304.51|-721582.81|-407240.43|338106.45|-161215.74|06|-151310.07|5|0|0|
608015468|5|7|674481.01|557618.57|-724258.80|811857.06|150054.23|-734073.40|133327.67|185582.22|-365713.45|-475050.20|44|-183840.87|4|3|2|
246185085|8|1|827218.35|-160072.44|-043708.37|853726.88|714266.43|584411.72|-332775.66|-641360.22|-851534.00|542416.22|82|-344266.43|3|8|2|
837121162|4|0|-087585.71|-127834.40|-011026.06|202045.83|-130745.87|806081.66|-346162.05|801572.47|848273.42|-705233.06|00|368008.88|8|8|8|
318713516|8|0|543185.40|203014.03|726230.06|618454.86|-423126.33|-434144.17|711857.26|-821040.56|786661.47|-575757.71|78|811532.41|1|3|8|
828485523|2|5|288370.38|-420881.82|-553360.72|-341635.88|-612014.54|817220.88|402460.25|-550386.05|-861614.33|-761010.63|60|131153.48|1|5|4|
888860645|1|0|-521523.45|028385.58|663280.48|-525855.62|-385352.36|-440854.45|-105836.32|-458657.78|025657.34|-663022.34|34|-835627.34|0|2|5|
062066017|2|6|020558.40|-822783.20|614850.87|815157.37|548123.53|554813.75|371220.84|-788034.64|167487.07|641743.82|85|-540464.57|0|3|4|
242280076|8|8|248743.01|-526817.27|-621058.38|-150541.87|-523654.12|173351.66|123756.63|646276.18|547302.67|-171737.27|23|186381.43|2|6|6|
635248402|6|6|637086.68|-242212.53|-035218.78|-762160.54|-254317.20|745163.44|-470304.46|421306.43|-758451.82|-644774.78|17|-781616.80|7|2|3|
216041212|0|7|-567444.05|630207.12|-348265.68|758034.35|428608.88|351758.76|286587.83|570777.55|-407242.20|238278.17|25|480641.43|0|5|1|
005784683|7|3|-173372.13|-780218.02|501383.64|757687.52|430201.30|-514753.55|-785247.32|665836.87|160683.40|117185.71|47|111512.61|7|2|6|
228544751|5|0|255530.10|231453.63|485103.85|-607020.20|-542026.38|-522856.60|107533.65|571387.64|-768888.34|485010.08|13|637017.80|3|6|4|
175606113|6|6|582216.16|764130.71|-060175.84|055448.16|-870846.77|660400.28|488482.04|804216.54|-053275.34|230625.60|62|-662748.23|4|7|2|
535020663|3|2|-054615.57|334181.07|-247862.10|864720.46|-141330.13|-137235.48|-208236.18|302754.33|480846.28|-061523.20|56|336328.40|1|6|0|
525415455|2|3|-148012.22|637302.60|-238148.12|244563.67|181232.54|318656.50|621138.64|825827.54|575867.66|088210.75|54|-788377.47|6|3|0|
052875462|6|4|-137736.38|-167031.03|165723.64|272016.47|256732.10|-037682.47|-153864.34|-085736.33|103602.61|-651605.31|74|-875784.16|8|7|6|
732707532|3|2|-264053.68|847026.64|-336450.62|404107.00|687443.84|070182.37|-668418.47|420248.68|086578.60|-432686.23|40|835218.06|8|1|4|
563352644|1|6|214004.82|512615.06|-517312.50|-577808.85|-117683.88|-387646.52|114437.72|-763442.42|330375.75|758542.64|83|661833.27|4|7|7|
